playerid,Name
1011348,Nolan Ryan
384,Chuck Finley
1014174,Mike Witt
4235,Jered Weaver
1012818,Frank Tanana
1507,John Lackey
1007323,Mark Langston
1002130,Dean Chance
1008382,Kirk McCaskill
1000012,Jim Abbott
3200,Ervin Santana
40,Jarrod Washburn
1008799,Andy Messersmith
1298,Kelvim Escobar
1008310,Rudy May
9784,Garrett Richards
1014410,Geoff Zahn
1001590,George Brunet
1757,Dan Haren
1012007,Bill Singer
1014272,Clyde Wright
1001098,Bert Blyleven
1004234,Ken Forsch
4776,Matt Shoemaker
1009542,Fred Newman
3580,C.J. Wilson
1008532,Jim McGlothlin
10190,Tyler Skaggs
1008344,Ken McBride
375,Bartolo Colon
27,Ramon Ortiz
15423,Andrew Heaney
1006515,Tommy John
4366,Joe Saunders
1004376,Dave Frost
1004037,Ed Figueroa
1005467,Paul Hartzell
1009376,Tom Murphy
1007757,Marcelino Lopez
1011168,Ron Romanick
1007453,Don Lee
33,Scott Schoeneweis
1006978,Bruce Kison
1000791,Bo Belinsky
1000003,Don Aase
1012745,Don Sutton
1005827,Ken Hill
1003278,Jason Dickson
1005480,Andy Hassler
1004979,Eli Grba
1007026,Chris Knapp
34,Aaron Sele
4026,Hector Santiago
1012054,Jim Slaton
1004306,Willie Fraser
1002304,Rickey Clark
571,Roy Oswalt
1011348,Nolan Ryan
1010913,J.R. Richard
1003288,Larry Dierker
574,Shane Reynolds
1014071,Don Wilson
1011691,Mike Scott
1009582,Joe Niekro
2586,Wandy Rodriguez
9434,Dallas Keuchel
430,Mike Hampton
815,Roger Clemens
1003950,Turk Farrell
1007031,Bob Knepper
1004234,Ken Forsch
1002853,Mike Cuellar
1163,Darryl Kile
8700,Justin Verlander
13125,Gerrit Cole
1001573,Bob Bruce
568,Wade Miller
1006477,Ken Johnson
1003473,Doug Drabek
840,Andy Pettitte
14120,Lance McCullers Jr.
7531,Collin McHugh
1011031,Dave Roberts
1004748,Dave Giusti
1005374,Pete Harnisch
1010460,Mark Portugal
1012745,Don Sutton
1005983,Chris Holt
1000970,Jack Billingham
9492,Bud Norris
475,Jose Lima
1007512,Denny Lemaster
1002996,Danny Darwin
1003228,Jim Deshaies
1010853,Jerry Reuss
1009651,Don Nottebart
1011297,Vern Ruhle
4676,Charlie Morton
1000266,Joaquin Andujar
962,Brett Myers
1005054,Tom Griffin
76,Greg Swindell
5401,Brad Peacock
573,Tim Redding
1001057,Wade Blasingame
426,Scott Elarton
1007521,Mark Lemongello
480,Brian Moehler
7410,J.A. Happ
7541,Lucas Harrell
6283,Scott Feldman
7593,Jordan Lyles
7754,Mike Fiers
1529,Brandon Backe
1010385,Eddie Plank
1005099,Lefty Grove
1000827,Chief Bender
1013467,Rube Waddell
1001094,Vida Blue
1006199,Catfish Hunter
921,Tim Hudson
1011174,Eddie Rommel
1013501,Rube Walberg
944,Barry Zito
1012519,Dave Stewart
1006785,Alex Kellner
932,Mark Mulder
1003633,George Earnshaw
1005989,Ken Holtzman
1011804,Bobby Shantz
1005431,Slim Harriss
1002583,Jack Coombs
1007319,Rick Langford
1010605,Jack Quinn
1772,Rich Harden
1757,Dan Haren
4849,Joe Blanton
12768,Sonny Gray
1009470,Rollie Naylor
1004170,Jesse Flores
8223,Brett Anderson
1009458,Jim Nash
1003343,Chuck Dobson
1009122,Mike Moore
1005684,Ray Herbert
1002222,Russ Christopher
1001754,Joe Bush
1001442,Lou Brissie
1004270,Dick Fowler
1011725,Diego Segui
1010216,Scott Perry
1009546,Bobo Newsom
1013750,Bob Welch
1003616,Jimmy Dygert
1009726,Blue Moon Odom
1002055,George Caster
